,model,BIC,integration,comparison,gb_att,gb_alt,leak,inhibition
102,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-false_lk-gaze-dependent_inh-gaze-dependent,261.9469,$\times$,independent,False,False,Gaze,Gaze
103,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-false_lk-gaze-dependent_inh-none,256.5781,$\times$,independent,False,False,Gaze,None
104,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-false_lk-none_inh-distance-dependent,471.1678,$\times$,independent,False,False,None,Distance
105,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-false_lk-none_inh-free,382.7283,$\times$,independent,False,False,None,Constant
106,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-false_lk-none_inh-gaze-dependent,313.2541,$\times$,independent,False,False,None,Gaze
107,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-false_lk-none_inh-none,376.492,$\times$,independent,False,False,None,None
108,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-true_lk-free_inh-distance-dependent,256.5651,$\times$,independent,False,True,Constant,Distance
109,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-true_lk-free_inh-free,237.3985,$\times$,independent,False,True,Constant,Constant
110,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-true_lk-free_inh-gaze-dependent,237.3148,$\times$,independent,False,True,Constant,Gaze
111,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-true_lk-free_inh-none,232.0819,$\times$,independent,False,True,Constant,None
112,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-true_lk-gaze-dependent_inh-distance-dependent,292.4998,$\times$,independent,False,True,Gaze,Distance
113,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-true_lk-gaze-dependent_inh-free,264.426,$\times$,independent,False,True,Gaze,Constant
114,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-true_lk-gaze-dependent_inh-gaze-dependent,266.3929,$\times$,independent,False,True,Gaze,Gaze
115,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-true_lk-gaze-dependent_inh-none,260.986,$\times$,independent,False,True,Gaze,None
116,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-true_lk-none_inh-distance-dependent,398.4746,$\times$,independent,False,True,None,Distance
117,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-true_lk-none_inh-free,330.3219,$\times$,independent,False,True,None,Constant
118,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-true_lk-none_inh-gaze-dependent,314.5533,$\times$,independent,False,True,None,Gaze
119,sb_int-multiplicative_comp-absolute_gbatt-false_gbalt-true_lk-none_inh-none,324.9058,$\times$,independent,False,True,None,None
120,sb_int-multiplicative_comp-absolute_gbatt-true_gbalt-false_lk-free_inh-distance-dependent,371.1409,$\times$,independent,True,False,Constant,Distance
121,sb_int-multiplicative_comp-absolute_gbatt-true_gbalt-false_lk-free_inh-free,371.5626,$\times$,independent,True,False,Constant,Constant
122,sb_int-multiplicative_comp-absolute_gbatt-true_gbalt-false_lk-free_inh-gaze-dependent,241.0399,$\times$,independent,True,False,Constant,Gaze
123,sb_int-multiplicative_comp-absolute_gbatt-true_gbalt-false_lk-free_inh-none,366.2221,$\times$,independent,True,False,Constant,None
124,sb_int-multiplicative_comp-absolute_gbatt-true_gbalt-false_lk-gaze-dependent_inh-distance-dependent,293.9266,$\times$,independent,True,False,Gaze,Distance
125,sb_int-multiplicative_comp-absolute_gbatt-true_gbalt-false_lk-gaze-dependent_inh-free,263.5558,$\times$,independent,True,False,Gaze,Constant
126,sb_int-multiplicative_comp-absolute_gbatt-true_gbalt-false_lk-gaze-dependent_inh-gaze-dependent,267.1985,$\times$,independent,True,False,Gaze,Gaze
127,sb_int-multiplicative_comp-absolute_gbatt-true_gbalt-false_lk-gaze-dependent_inh-none,261.7681,$\times$,independent,True,False,Gaze,None
128,sb_int-multiplicative_comp-absolute_gbatt-true_gbalt-false_lk-none_inh-distance-dependent,445.9038,$\times$,independent,True,False,None,Distance
129,sb_int-multiplicative_comp-absolute_gbatt-true_gbalt-false_lk-none_inh-free,386.7558,$\times$,independent,True,False,None,Constant
130,sb_int-multiplicative_comp-absolute_gbatt-true_gbalt-false_lk-none_inh-gaze-dependent,318.433,$\times$,independent,True,False,None,Gaze
131,sb_int-multiplicative_comp-absolute_gbatt-true_gbalt-false_lk-none_inh-none,381.3401,$\times$,independent,True,False,None,None
132,sb_int-multiplicative_comp-absolute_gbatt-true_gbalt-true_lk-free_inh-distance-dependent,250.6552,$\times$,independent,True,True,Constant,Distance
133,sb_int-multiplicative_comp-absolute_gbatt-true_gbalt-true_lk-free_inh-free,242.6446,$\times$,independent,True,True,Constant,Constant
134,sb_int-multiplicative_comp-absolute_gbatt-true_gbalt-true_lk-free_inh-gaze-dependent,242.4417,$\times$,independent,True,True,Constant,Gaze
135,sb_int-multiplicative_comp-absolute_gbatt-true_gbalt-true_lk-free_inh-none,237.2127,$\times$,independent,True,True,Constant,None
136,sb_int-multiplicative_comp-absolute_gbatt-true_gbalt-true_lk-gaze-dependent_inh-distance-dependent,284.4596,$\times$,independent,True,True,Gaze,Distance
137,sb_int-multiplicative_comp-absolute_gbatt-true_gbalt-true_lk-gaze-dependent_inh-free,269.5163,$\times$,independent,True,True,Gaze,Constant
138,sb_int-multiplicative_comp-absolute_gbatt-true_gbalt-true_lk-gaze-dependent_inh-gaze-dependent,271.5288,$\times$,independent,True,True,Gaze,Gaze
139,sb_int-multiplicative_comp-absolute_gbatt-true_gbalt-true_lk-gaze-dependent_inh-none,266.1827,$\times$,independent,True,True,Gaze,None
140,sb_int-multiplicative_comp-absolute_gbatt-true_gbalt-true_lk-none_inh-distance-dependent,414.5012,$\times$,independent,True,True,None,Distance
141,sb_int-multiplicative_comp-absolute_gbatt-true_gbalt-true_lk-none_inh-free,335.442,$\times$,independent,True,True,None,Constant
142,sb_int-multiplicative_comp-absolute_gbatt-true_gbalt-true_lk-none_inh-gaze-dependent,319.4201,$\times$,independent,True,True,None,Gaze
