,subject,trial,n_between-alt-diff,n_between-alt-same,n_within-alt,payne_index,payne_index_relaxed,n_dist0,n_dist1,n_dist2,n_diagonal,n_horizontal,n_vertical,n_competitor_decoy,n_target_competitor,n_target_decoy,within-alternative
2606,11,134,3.0,3.0,3.0,0.0,-0.3333333333333333,3.0,5.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0
2607,11,135,4.0,1.0,3.0,0.5,-0.25,3.0,4.0,1.0,0.0,5.0,3.0,1.0,1.0,3.0,3.0
2608,11,136,0.0,6.0,2.0,-0.5,-0.5,2.0,5.0,1.0,0.0,6.0,2.0,4.0,1.0,1.0,2.0
2609,11,137,1.0,4.0,2.0,-0.3333333333333333,-0.42857142857142855,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0
2610,11,138,3.0,2.0,2.0,0.0,-0.42857142857142855,2.0,5.0,0.0,3.0,2.0,2.0,3.0,0.0,0.0,4.0
2611,11,139,1.0,8.0,1.0,-0.7777777777777778,-0.8,1.0,7.0,2.0,1.0,8.0,1.0,7.0,0.0,0.0,3.0
2612,11,140,4.0,3.0,2.0,-0.2,-0.5555555555555556,2.0,4.0,3.0,2.0,5.0,2.0,3.0,3.0,1.0,2.0
2613,11,141,1.0,5.0,1.0,-0.6666666666666666,-0.7142857142857143,1.0,4.0,2.0,1.0,5.0,1.0,2.0,2.0,2.0,1.0
2614,11,142,2.0,1.0,3.0,0.5,0.0,3.0,3.0,0.0,1.0,2.0,3.0,0.0,3.0,0.0,3.0
2615,11,143,3.0,3.0,0.0,-1.0,-1.0,0.0,5.0,1.0,2.0,4.0,0.0,2.0,3.0,1.0,0.0
2616,11,144,2.0,2.0,2.0,0.0,-0.3333333333333333,2.0,4.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,2.0
