,subject,block,trial,effect,target,key,choice,choice_tcd,rt,pA,pB,pC,mA,mB,mC,pos_A,pos_B,pos_C,pA_top,pB_top,pC_top
75,38,2,76,attraction,A,L,B,competitor,4260.0,0.78,0.68,0.76,13,15,12,2,0,1,True,False,True
76,38,2,77,compromise,B,M,B,target,5900.0,0.72,0.68,0.55,12,14,17,0,1,2,True,False,True
77,38,2,78,attraction,A,R,B,competitor,9180.0,0.72,0.65,0.7,12,15,11,0,2,1,True,True,True
78,38,2,79,filler,,M,A,,2330.0,0.24,0.37,0.76,41,27,13,1,0,2,True,False,True
79,38,2,80,attraction,B,M,A,competitor,21160.0,0.78,0.65,0.63,13,15,14,1,0,2,False,True,False
80,38,2,81,compromise,A,R,A,target,6020.0,0.72,0.68,0.82,13,15,10,2,1,0,False,False,False
81,38,2,82,attraction,A,R,B,competitor,6550.0,0.78,0.62,0.76,12,15,11,1,2,0,True,True,True
82,38,2,83,attraction,B,M,B,target,8390.0,0.72,0.62,0.6,13,15,14,2,1,0,False,False,False
83,38,2,84,compromise,A,L,B,competitor,4300.0,0.78,0.68,0.88,13,15,10,1,0,2,False,False,True
84,38,2,85,compromise,A,M,B,competitor,4700.0,0.72,0.68,0.82,13,15,10,2,1,0,False,True,False
85,38,2,86,attraction,A,R,A,target,6770.0,0.75,0.65,0.73,12,15,11,2,0,1,False,True,True
86,38,2,87,compromise,B,R,A,competitor,9990.0,0.72,0.62,0.55,13,14,17,2,0,1,False,False,False
87,38,2,88,compromise,A,M,A,target,10140.0,0.75,0.65,0.82,13,15,10,1,0,2,True,True,False
88,38,2,89,attraction,A,R,A,target,7030.0,0.72,0.65,0.7,13,15,12,2,0,1,False,True,True
89,38,2,90,attraction,A,R,B,competitor,7000.0,0.72,0.68,0.7,12,14,11,0,2,1,False,False,False
90,38,2,91,attraction,A,R,A,target,4640.0,0.75,0.65,0.73,13,15,12,2,1,0,True,False,False
91,38,2,92,attraction,B,R,B,target,9160.0,0.72,0.68,0.66,13,14,13,1,2,0,True,True,False
92,38,2,93,attraction,B,R,B,target,4670.0,0.75,0.68,0.66,12,14,13,0,2,1,False,False,True
93,38,2,94,compromise,A,R,A,target,5110.0,0.78,0.68,0.85,12,15,10,2,1,0,False,True,False
94,38,2,95,filler,,R,A,,8330.0,0.27,0.47,0.86,37,21,11,2,0,1,True,False,True
95,38,2,96,attraction,B,M,A,competitor,7390.0,0.72,0.65,0.63,13,14,13,1,2,0,False,True,True
96,38,2,97,filler,,R,A,,3250.0,0.16,0.46,0.87,62,21,11,2,1,0,False,True,False
97,38,2,98,attraction,B,M,B,target,8020.0,0.78,0.62,0.6,12,15,14,2,1,0,True,True,True
98,38,2,99,compromise,B,L,B,target,5510.0,0.72,0.68,0.58,12,15,17,2,0,1,False,False,True
99,38,2,100,attraction,B,M,A,competitor,5030.0,0.72,0.62,0.6,13,14,13,1,2,0,False,False,True
100,38,2,101,attraction,B,M,B,target,13720.0,0.75,0.62,0.6,12,15,14,0,1,2,False,True,True
101,38,2,102,attraction,B,M,A,competitor,4130.0,0.75,0.65,0.63,12,14,13,1,2,0,False,True,False
102,38,2,103,compromise,A,L,A,target,5000.0,0.78,0.62,0.85,13,14,10,0,2,1,False,False,False
103,38,2,104,attraction,B,L,B,target,10620.0,0.78,0.65,0.63,12,15,14,2,0,1,False,True,False
104,38,2,105,filler,,L,A,,4600.0,0.19,0.59,0.81,52,16,12,0,1,2,False,False,False
105,38,2,106,compromise,B,M,A,competitor,7810.0,0.75,0.62,0.58,12,15,16,1,0,2,True,False,False
106,38,2,107,compromise,B,L,A,competitor,8550.0,0.78,0.62,0.55,13,14,17,0,2,1,True,True,True
107,38,2,108,compromise,A,L,A,target,10430.0,0.78,0.65,0.82,13,14,11,0,1,2,False,True,False
108,38,2,109,compromise,A,R,A,target,7210.0,0.78,0.65,0.82,13,14,10,2,1,0,False,False,True
109,38,2,110,filler,,M,B,,12470.0,0.29,0.42,0.72,34,23,13,0,1,2,True,False,True
110,38,2,111,attraction,A,L,A,target,7040.0,0.78,0.62,0.76,13,14,12,0,2,1,False,True,True
111,38,2,112,attraction,B,L,A,competitor,7000.0,0.72,0.62,0.6,13,15,14,0,2,1,False,True,True
112,38,2,113,attraction,B,R,A,competitor,7660.0,0.78,0.62,0.6,13,15,14,2,0,1,True,True,True
113,38,2,114,compromise,B,R,B,target,3330.0,0.72,0.65,0.52,13,15,16,0,2,1,True,True,True
114,38,2,115,filler,,R,C,,8340.0,0.32,0.6,0.78,31,16,12,1,0,2,True,False,False
115,38,2,116,compromise,A,M,B,competitor,15750.0,0.75,0.62,0.88,12,15,11,0,1,2,False,False,False
116,38,2,117,attraction,A,L,B,competitor,5430.0,0.72,0.65,0.7,12,15,11,2,0,1,False,False,False
117,38,2,118,compromise,B,M,B,target,10550.0,0.72,0.62,0.58,12,14,17,0,1,2,True,False,False
118,38,2,119,compromise,A,M,A,target,4850.0,0.75,0.68,0.88,12,15,11,1,0,2,False,True,True
119,38,2,120,compromise,B,L,A,competitor,9920.0,0.75,0.65,0.55,13,14,16,0,1,2,True,False,False
120,38,2,121,compromise,B,R,B,target,11860.0,0.72,0.65,0.55,12,15,17,1,2,0,True,True,False
121,38,2,122,compromise,B,M,B,target,9050.0,0.75,0.68,0.55,12,14,16,2,1,0,True,True,False
122,38,2,123,compromise,A,M,A,target,9550.0,0.78,0.62,0.85,12,15,10,1,0,2,True,False,False
123,38,2,124,attraction,A,R,B,competitor,5000.0,0.78,0.68,0.76,12,15,11,0,2,1,False,False,True
124,38,2,125,attraction,B,M,A,competitor,7760.0,0.78,0.62,0.6,12,14,13,1,0,2,True,True,False
125,38,2,126,filler,,R,B,,9160.0,0.31,0.38,0.85,32,26,11,0,2,1,False,False,False
126,38,2,127,compromise,A,M,B,competitor,14090.0,0.78,0.68,0.88,12,15,11,0,1,2,True,True,False
127,38,2,128,attraction,A,R,B,competitor,2440.0,0.75,0.68,0.73,12,14,11,1,2,0,True,True,True
128,38,2,129,filler,,M,A,,3540.0,0.19,0.56,0.8,52,17,12,1,0,2,False,True,True
129,38,2,130,attraction,A,M,B,competitor,8000.0,0.75,0.65,0.73,13,15,12,2,1,0,False,False,True
